Date,Signal,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_kcc,volatility_kch,volatility_kcl,volatility_dch,volatility_dcl,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_kama,others_dr,others_dlr,others_cr,order
12-11-09,1,1098.31,1101.97,1084.9,1087.24,4160250000,-3820629304,-4160250000,-0.452308739,0,-2.53E-08,-1894729315,989.7406487,20.18505993,1104.145,1081.605,1092.875,1095.3,1109.615,1080.985,1098.51,1087.24,-0.252852564,-0.140473647,-0.112378917,1092.405417,1092.658269,-0.155638159,2.102596568,-66.66666667,841.2751471,-434.9585519,-433.5018397,-1.45671214,1095.135,1095.135,1921.033564,1900.815225,4,8,-4,0,-100,0.82107729,11.43136297,26.04440121,-88.56863703,1087.24,-1.02593513,-1.031234119,-1.02593513,1
13-11-09,1,1087.59,1097.79,1085.33,1093.48,3792610000,-1850824170,-367640000,-0.216658054,2485272700,-1.57E-08,-20914527.59,995.4210704,19.63326993,1102.296245,1083.857088,1093.076667,1094.266667,1107.963333,1080.57,1098.51,1087.24,-0.128682328,-0.135641139,0.006958811,1092.824827,1092.953509,-0.083473399,3.123421628,-41.63868368,841.0734804,-434.8542856,-433.952655,-0.901630564,1095.135,1095.135,1921.033564,1900.815225,4,8,-4,37.3540856,-99.68661777,1.746237648,41.91499756,31.33459999,-58.08500244,1093.48,0.573930319,0.572289614,-0.457892964,2
16-11-09,1,1094.13,1113.69,1094.13,1109.3,4565850000,3685182962,4198210000,-0.008059687,8947536000,7.16E-09,87823699.65,995.4210704,19.67446494,1113.29257,1080.97243,1097.1325,1097.126667,1112.289167,1081.964167,1109.3,1087.24,0.502121481,0.080403109,0.421718372,1098.025395,1097.523274,-0.012671339,4.228213861,107.0826833,837.0176471,-432.7573267,-433.6538229,0.896496239,1099.295,1099.295,1921.033564,1900.815225,16,8,8,68.98517024,-98.95229267,3.483955923,84.75164988,46.03267014,-15.24835012,1109.3,1.446757142,1.436391469,0.982239579,3
17-11-09,2,1109.22,1110.52,1102.19,1110.32,3824070000,6156794103,8022280000,0.169902239,529786400,6.70E-09,69572988.69,996.3363588,18.86414601,1117.664714,1081.875286,1099.77,1099.236667,1113.032667,1085.440667,1110.32,1087.24,0.874908062,0.31675037,0.558157692,1101.365795,1100.490887,0.026219441,5.192861622,94.34384082,834.3801471,-431.3936787,-433.2017941,1.8081154,1099.295,1099.295,1921.033564,1900.815225,20,8,12,70.03568945,-98.44536417,4.35658481,88.29454672,71.65373138,-11.70545328,1110.32,0.091949878,0.09190763,1.075092625,4
18-11-09,2,1109.44,1111.1,1102.7,1109.8,4293340000,6604890236,3728940000,0.259579128,-136255000,5.58E-09,1505512.962,996.3363588,18.11670701,1119.406634,1083.476699,1101.441667,1100.675,1113.571667,1087.778333,1110.32,1087.24,1.060322486,0.518299755,0.54202273,1103.415751,1102.355428,0.046120141,6.091270452,74.81577807,832.7084804,-430.5293887,-432.7563932,2.227004515,1099.295,1099.295,1921.033564,1900.815225,20,8,12,68.75707432,-98.07992151,5.09919305,86.48836402,86.5115202,-13.51163598,1109.8,-0.046833345,-0.046844316,1.027755778,5
19-11-09,2,1106.44,1106.44,1088.4,1094.9,4178030000,1797194547,-449090000,0.182200499,-5458063200,-2.17E-09,-58104287.46,982.9597038,18.35122794,1117.758067,1083.256219,1100.507143,1100.09,1113.721429,1086.458571,1110.32,1087.24,0.485971768,0.510118404,-0.024146636,1101.515491,1101.029519,0.04429154,7.098166854,-39.03717827,833.6430042,-431.0125589,-432.507274,1.494715085,1099.295,1099.295,1921.033564,1900.815225,20,8,12,43.98024666,-97.80205605,5.681902979,34.73428274,69.83906449,-65.26571726,1094.9,-1.342584249,-1.351678401,-0.328626958,6
20-11-09,1,1094.66,1094.66,1086.81,1091.38,3751230000,-550810335.5,-4200320000,0.180160086,9985666200,-3.86E-09,-68153422.57,979.7995813,17.61828309,1116.595321,1082.137179,1099.36625,1098.9475,1111.85625,1086.03875,1110.32,1087.24,-0.074372327,0.36965429,-0.444026617,1099.40037,1099.474742,0.034365285,8.023790825,-86.37775078,834.7838971,-431.6024267,-432.3941681,0.79174139,1099.295,1099.295,1921.033564,1900.815225,20,8,12,40.28679743,-97.57974047,33.9517728,22.50781521,47.91015399,-77.49218479,1091.38,-0.321490547,-0.322008438,-0.649061001,7
23-11-09,2,1094.86,1112.38,1094.86,1106.24,3827920000,1761324348,-372400000,0.192571258,-3970247400,3.99E-09,40060301.89,979.7995813,17.85983429,1116.938469,1083.321531,1100.13,1099.563704,1112.984815,1086.142593,1110.32,1087.24,0.275990221,0.348017425,-0.072027204,1100.753492,1100.477502,0.030942981,9.037541469,53.80023983,834.0201471,-431.2075504,-432.2623217,1.054771255,1099.295,1099.295,1921.033564,1900.815225,20,8,12,56.78591245,-97.14669235,40.48908838,74.12295936,43.78835244,-25.87704064,1106.24,1.361578918,1.352392724,0.70368044,8
24-11-09,1,1105.83,1107.56,1097.63,1105.65,3700820000,3422021190,-4073220000,0.231314142,-719350700,3.24E-09,50146363.23,979.2770168,17.29341756,1116.968237,1084.395763,1100.682,1099.968667,1113.040667,1086.896667,1110.32,1087.24,0.490122155,0.379857134,0.110265021,1101.681379,1101.191256,0.029902919,10.00165156,41.16406897,833.4681471,-430.9221538,-432.1375468,1.21539305,1099.295,1099.295,1921.033564,1900.815225,20,8,12,56.12285988,-96.77896228,41.70316811,72.07363668,56.23480375,-27.92636332,1105.65,-0.053333815,-0.053348043,0.649971325,9
25-11-09,2,1106.49,1111.18,1104.75,1110.63,3036350000,4794053215,-1036870000,0.273107781,-3474992300,4.06E-09,11702350.41,983.6878154,16.51745916,1118.134584,1085.038144,1101.586364,1100.931,1113.49,1088.372,1110.63,1087.24,0.903296075,0.494382583,0.408913491,1103.318761,1102.415464,0.031725745,10.88903422,88.26810933,832.5637834,-425.9910246,-431.1411549,5.150130277,1099.4025,1099.295,1921.033564,1900.815225,44,8,36,60.33301908,-96.38634813,41.43250522,89.37130948,78.52263517,-10.62869052,1105.783148,0.450413784,0.449402456,1.103312669,10
