,Date,Signal,Open,High,Low,Close,Volume,NYSE_Close,RUSS_Close,NASDAQ_Close,DJI_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
0,11-11-09,2,1096.04,1105.37,1093.81,1098.51,4286700000,7155.36,592.71,2166.9,10291.26,5266.8,1117.3,9871.68,6.8164,0.6674,0.6033,89.91
1,12-11-09,1,1098.31,1101.97,1084.9,1087.24,4160250000,7063.05,580.32,2149.02,10197.47,5276.5,1103.6,9804.49,6.8166,0.6731,0.6029,90.28
2,13-11-09,1,1087.59,1097.79,1085.33,1093.48,3792610000,7119.89,586.28,2167.88,10270.47,5296.4,1118.65,9770.31,6.8163,0.6707,0.5997,89.66
3,16-11-09,1,1094.13,1113.69,1094.13,1109.3,4565850000,7237.1,602.87,2197.85,10406.96,5382.7,1139.3,9791.18,6.8165,0.6674,0.5939,89.01
4,17-11-09,2,1109.22,1110.52,1102.19,1110.32,3824070000,7234.06,602.34,2203.78,10437.42,5345.9,1141.38,9729.93,6.8178,0.6722,0.5944,89.23
5,18-11-09,2,1109.44,1111.1,1102.7,1109.8,4293340000,7226.71,600.15,2193.14,10426.31,5342.1,1145.6,9676.8,6.8169,0.6687,0.5974,89.398
6,19-11-09,2,1106.44,1106.44,1088.4,1094.9,4178030000,7117.64,585.68,2156.82,10332.44,5267.7,1144.6,9549.47,6.8178,0.6704,0.6004,88.9
7,20-11-09,1,1094.66,1094.66,1086.81,1091.38,3751230000,7084.47,584.68,2146.04,10318.16,5251.4,1150.6,9497.68,6.8176,0.6728,0.6053,88.83
8,23-11-09,2,1094.86,1112.38,1094.86,1106.24,3827920000,7186.33,594.81,2176.01,10450.95,5355.5,1166,,6.8217,0.6684,0.6021,88.9
9,24-11-09,1,1105.83,1107.56,1097.63,1105.65,3700820000,7170.26,592.58,2169.18,10433.71,5324,1169.41,9401.58,6.8188,0.6682,0.603,88.593
10,25-11-09,2,1106.49,1111.18,1104.75,1110.63,3036350000,7232.12,592.19,2176.05,10464.4,5364.8,1191.66,9441.64,6.8185,0.661,0.5986,87.36
11,27-11-09,1,1105.47,1105.47,1083.74,1091.49,2362910000,7070.09,577.21,2138.44,10309.92,5245.7,1177.63,9081.52,6.8185,0.6671,0.6058,86.48
12,30-11-09,1,1091.07,1097.24,1086.25,1095.63,3895520000,7092.36,579.73,2144.6,10344.84,5190.7,1179.63,9345.55,6.8172,0.6649,0.6076,86.25
13,01-12-09,1,1098.89,1112.28,1098.89,1108.86,4249310000,7212.08,589.2,2175.81,10471.58,5312.2,1196.51,9572.2,6.8184,0.6627,0.6015,86.65
14,02-12-09,2,1109.03,1115.58,1105.29,1109.24,3941340000,7222.42,596.09,2185.03,10452.68,5327.4,1215.85,9608.94,6.8168,0.6636,0.6002,87.56
15,03-12-09,1,1110.59,1117.28,1098.74,1099.92,4810030000,7157.05,588.78,2173.14,10366.15,5313,1207.45,9977.67,6.8167,0.6638,0.6039,88.259
16,04-12-09,2,1100.43,1119.13,1096.52,1105.98,5781140000,7182.71,602.79,2194.35,10388.9,5322.4,1161.43,10022.59,6.8166,0.6731,0.6067,90.52
17,07-12-09,2,1105.52,1110.72,1100.83,1103.25,4103360000,7155.73,603.56,2189.61,10390.11,5310.7,1158.1,10167.6,6.8188,0.6738,0.6073,89.29
18,08-12-09,1,1103.04,1103.04,1088.61,1091.94,4748030000,7056.26,597.7,2172.99,10285.97,5223.1,1128.4,10140.47,6.8179,0.6804,0.6154,88.38
