,Date,Signal,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,DJI_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
0,30-10-14,1,16968.14,17223.96,16920.76,17195.42,80180000,1155.77,10712.19,4566.14,17195.42,6463.6,1198.85,15658.2,6.1012,0.7916,0.6248,108.846
1,31-10-14,2,17208.78,17395.54,17208.78,17390.52,121610000,1173.51,10845,4630.74,17390.52,6546.5,1172.94,16413.76,6.1045,0.7928,0.625,109.213
2,03-11-14,2,17390.9,17410.65,17339.85,17366.24,80030000,1170.2,10808.67,4638.91,17366.24,6488,1165.63,,6.1027,0.7998,0.626,112.841
3,04-11-14,1,17368.81,17397.23,17278.36,17383.84,81390000,1165.42,10758.07,4623.64,17383.84,6454,1168.39,16862.47,6.1083,0.8003,0.6258,113.648
4,05-11-14,1,17385.76,17486.59,17385.76,17484.53,76030000,1167.07,10824.07,4620.72,17484.53,6539.1,1140.54,16937.32,6.1053,0.7966,0.6248,113.48
5,06-11-14,1,17491.66,17560.31,17440.35,17554.47,70670000,1171.86,10843.54,4638.47,17554.47,6551.2,1141.92,16792.48,6.104,0.8013,0.6264,114.655
6,07-11-14,1,17558.58,17575.33,17493.37,17573.93,82860000,1173.32,10864.58,4632.53,17573.93,6567.2,1177.97,16880.38,6.102,0.8077,0.6313,115.176
7,10-11-14,1,17568.98,17621.87,17547.51,17613.74,71430000,1179.57,10892.56,4651.62,17613.74,6611.3,1151.47,16780.53,6.1128,0.8025,0.6295,114.533
8,11-11-14,2,17615.64,17638.21,17584.94,17614.9,52880000,1179.96,10907.53,4660.56,17614.9,6627.4,1164.33,17124.11,6.1095,0.8045,0.6308,114.753
9,12-11-14,1,17604.75,17626.71,17536.17,17612.2,75980000,1186.47,10884.03,4675.14,17612.2,6611,1162.6,17197.05,6.1145,0.8015,0.6279,115.721
10,13-11-14,1,17618.69,17705.48,17583.88,17652.79,80540000,1175.42,10868.92,4680.14,17652.79,6635.5,1162.55,17392.79,6.1162,0.8045,0.6342,115.57
11,14-11-14,1,17653.11,17664.15,17613.2,17634.74,72850000,1173.81,10880.63,4688.54,17634.74,6654.4,1188.75,17490.83,6.1148,0.8015,0.6368,115.824
12,17-11-14,1,17631.85,17675.07,17606.81,17647.75,70330000,1164.23,10883.25,4671,17647.75,6672,1186.57,16973.8,6.1195,0.7988,0.6383,116.896
13,18-11-14,2,17643.09,17735.71,17642.03,17687.82,87420000,1170.28,10941.7,4702.44,17687.82,6709.1,1197.08,17344.06,6.1143,0.8033,0.6393,116.646
14,19-11-14,1,17685.51,17712.26,17624.5,17685.73,73780000,1157.69,10927.48,4675.71,17685.73,6696.6,1182.68,17288.75,6.1113,0.7979,0.6399,116.869
15,20-11-14,1,17677.32,17720.44,17603.89,17719,77740000,1170.75,10937.97,4701.87,17719,6678.9,1193.79,17300.86,6.1095,0.7974,0.638,118.148
16,21-11-14,1,17721.02,17894.83,17721.02,17810.06,140940000,1172.42,11025.74,4712.97,17810.06,6750.8,1201.55,17357.51,6.1135,0.7971,0.6371,118.236
17,24-11-14,2,17812.63,17855.27,17793.19,17817.9,85510000,1186.94,11041.42,4754.89,17817.9,6729.8,1197.14,,6.1149,0.8081,0.639,117.744
18,25-11-14,1,17819.05,17854.73,17790.89,17814.94,88190000,1186.33,11029.37,4758.25,17814.94,6731.1,1200.98,17407.62,6.1317,0.8043,0.6371,118.454
19,26-11-14,2,17812.25,17833.76,17791.16,17827.75,67450000,1190.62,11047.91,4787.32,17827.75,6729.2,1197.87,17383.58,6.1265,0.8012,0.6361,117.801
20,28-11-14,2,17830.55,17893.42,17807.78,17828.24,80470000,1173.23,10955.41,4791.63,17828.24,6722.6,1167.38,17459.85,6.1291,0.8024,0.6359,117.84
21,01-12-14,1,17827.27,17827.27,17726.55,17776.8,86390000,1154.05,10888.56,4727.35,17776.8,6656.4,1212.1,17590.1,6.1332,0.804,0.6405,118.864
22,02-12-14,1,17778.85,17897.05,17778.85,17879.55,81970000,1168.45,10940.12,4755.81,17879.55,6742.1,1198.28,17663.22,6.142,0.8019,0.6356,118.308
23,03-12-14,2,17880.9,17924.15,17855.59,17912.62,99400000,1179.01,10987.3,4774.47,17912.62,6716.6,1209.43,17720.43,6.1395,0.8072,0.6391,119.194
24,04-12-14,1,17910.02,17937.96,17814.81,17900.1,76270000,1173.01,10952.3,4769.44,17900.1,6679.4,1205.27,17887.21,6.1402,0.8119,0.6372,119.861
25,05-12-14,2,17903.05,17991.19,17903.05,17958.79,79110000,1182.43,10970.26,4780.76,17958.79,6742.8,1192.35,17920.45,6.1446,0.8073,0.6378,119.812
26,08-12-14,2,17954.94,17960.56,17804.28,17852.48,88680000,1167.21,10863.54,4740.69,17852.48,6672.2,1203.51,17935.64,6.1402,0.8134,0.6424,121.561
27,09-12-14,2,17847.37,17847.37,17629.57,17801.2,100400000,1188.06,10821.2,4766.47,17801.2,6529.5,1231.06,17813.38,6.163,0.812,0.6389,120.65
28,10-12-14,1,17797.99,17797.99,17508.1,17533.15,115100000,1161.86,10662.24,4684.02,17533.15,6500,1226.31,17412.58,6.1778,0.8068,0.6374,119.342
29,11-12-14,2,17534.3,17758.51,17534.3,17596.34,90100000,1166.96,10690.14,4708.16,17596.34,6461.7,1227.72,17257.4,6.1666,0.8017,0.635,117.709
30,12-12-14,2,17590.05,17590.05,17280.83,17280.83,121950000,1152.44,10500.51,4653.6,17280.83,6300.6,1222.59,17371.58,6.1786,0.8068,0.636,119.007
31,15-12-14,2,17285.74,17403.54,17115.28,17180.84,114050000,1140.3,10411.18,4605.16,17180.84,6182.7,1193.23,17099.4,6.1769,0.8023,0.6358,118.165
32,16-12-14,1,17173.07,17427.44,17067.59,17068.87,116640000,1139.37,10390.02,4547.83,17068.87,6331.8,1197.01,16755.32,6.1805,0.8036,0.6392,117.741
33,17-12-14,1,17069.16,17389.3,17069.16,17356.87,118220000,1174.84,10603.51,4644.31,17356.87,6336.5,1189.71,16819.73,6.1795,0.7992,0.6351,116.613
34,18-12-14,1,17367.85,17778.4,17367.85,17778.15,123940000,1192.16,10831.62,4748.4,17778.15,6466,1198.57,17210.05,6.187,0.8104,0.6421,118.796
35,19-12-14,1,17778.02,17874.03,17746.55,17804.8,343690000,1195.96,10890.24,4765.38,17804.8,6545.3,1195.74,17621.4,6.2045,0.8136,0.6382,118.938
36,22-12-14,1,17812.25,17962.78,17812.25,17959.44,98460000,1201.86,10919.99,4781.42,17959.44,6576.7,1176.44,17635.14,6.2099,0.8179,0.6398,119.497
37,23-12-14,2,17971.51,18069.22,17970.16,18024.17,82890000,1202.44,10951.76,4765.42,18024.17,6598.2,1176.57,,6.2116,0.8181,0.6419,120.15
38,24-12-14,1,18035.73,18086.24,18027.78,18030.21,42870000,1206.78,10955.11,4773.47,18030.21,6609.9,1173.8,17854.23,6.2159,0.8214,0.6442,120.69
39,26-12-14,1,18038.3,18103.45,18038.3,18053.71,52570000,1215.21,10985.4,4806.86,18053.71,,1196,17818.96,6.2053,0.819,0.6426,120.37
40,29-12-14,2,18046.58,18073.04,18021.57,18038.23,53870000,1219.11,10988.01,4806.91,18038.23,6633.5,1183.29,17729.84,6.2053,0.8217,0.6429,120.424
41,30-12-14,2,18035.02,18035.02,17959.7,17983.07,47490000,1213.05,10932.99,4777.44,17983.07,6547,1200.55,17450.77,6.2125,0.8228,0.6445,120.632
42,31-12-14,2,17987.66,18043.22,17820.88,17823.07,82840000,1204.7,10839.24,4736.05,17823.07,6566.1,1184.37,,6.192,0.8222,0.6423,119.458
43,02-01-15,2,17823.07,17951.78,17731.3,17832.99,76270000,1198.8,10830.92,4726.81,17832.99,6547.8,1188.39,,6.1961,0.8272,0.6419,119.87
44,05-01-15,2,17821.3,17821.3,17475.93,17501.65,116160000,1181.35,10607.68,4652.57,17501.65,6417.2,1204.86,17408.71,6.1961,0.8371,0.6542,120.434
45,06-01-15,1,17504.18,17581.05,17262.37,17371.64,101870000,1161.31,10514.87,4592.74,17371.64,6366.5,1218.58,16883.19,6.2084,0.8376,0.6554,119.425
46,07-01-15,1,17374.78,17597.08,17374.78,17584.52,91030000,1175.97,10627.13,4650.47,17584.52,6419.8,1211.41,16885.33,6.202,0.8421,0.6606,118.673
47,08-01-15,2,17591.97,17916.04,17591.97,17907.87,114890000,1196.13,10800.54,4736.19,17907.87,6570,1208.79,17167.1,6.204,0.8449,0.6619,119.289
48,09-01-15,2,17911.02,17915.32,17686.09,17737.37,93390000,1185.68,10711.41,4704.07,17737.37,6501.1,1223.25,17197.73,6.2035,0.8477,0.6628,119.792
49,12-01-15,2,17742.05,17793.88,17571.58,17640.84,92500000,1180.09,10640.74,4664.71,17640.84,6501.4,1233.31,,6.2003,0.8424,0.6583,118.212
50,13-01-15,2,17645.02,17923.01,17498.23,17613.68,99360000,1180.64,10622.96,4661.5,17613.68,6542.2,1230.64,17087.71,6.1934,0.8452,0.6592,118.328
51,14-01-15,2,17609.06,17609.06,17264.9,17427.09,109180000,1177.06,10565.42,4639.32,17427.09,6388.5,1228.72,16795.96,6.1876,0.849,0.6592,117.795
52,15-01-15,1,17436.3,17517.41,17298.04,17320.71,94520000,1154.71,10514.6,4570.82,17320.71,6498.8,1262.75,17108.7,6.184,0.8485,0.6564,117.39
53,16-01-15,1,17320,17528.37,17243.55,17511.57,140480000,1176.65,10660.32,4634.38,17511.57,6550.3,1280.45,16864.16,6.1775,0.8593,0.6587,116.13
54,20-01-15,1,17516.96,17588.7,17346.73,17515.23,119600000,1170.25,10658.62,4654.85,17515.23,6620.1,1295.32,17366.3,6.208,0.8622,0.6627,117.712
55,21-01-15,1,17509.96,17599.58,17396.04,17554.28,95530000,1166.25,10720.4,4667.42,17554.28,6728,1293.09,17280.48,6.2049,0.866,0.6602,118.649
56,22-01-15,2,17557.29,17840.89,17482.54,17813.98,111980000,1190.37,10859.35,4750.4,17813.98,6796.6,1302.25,17329.02,6.2017,0.8609,0.6603,117.86
57,23-01-15,1,17812.5,17812.5,17667.53,17672.6,97110000,1188.93,10788.33,4757.88,17672.6,6832.8,1294.08,17511.75,6.199,0.8813,0.6661,118.751
58,26-01-15,2,17668.11,17696.36,17567.6,17678.7,87220000,1200.74,10847.15,4771.76,17678.7,6852.4,1281.4,17468.52,6.2179,0.8988,0.6668,117.361
59,27-01-15,2,17638.53,17638.53,17288.31,17387.21,135940000,1194.66,10781.83,4681.5,17387.21,6811.6,1292.34,17768.3,6.2458,0.8891,0.6629,118.52
60,28-01-15,1,17402.91,17484.41,17189,17191.37,115980000,1175.12,10603.86,4637.99,17191.37,6825.9,1284.49,17795.73,6.2351,0.8797,0.6584,117.775
61,29-01-15,2,17195.29,17433.13,17136.3,17416.85,111690000,1190.18,10691.63,4683.41,17416.85,6810.6,1257.27,17606.22,6.2365,0.8864,0.6604,117.592
62,30-01-15,1,17416.85,17419.9,17156.82,17164.95,168560000,1165.39,10537.22,4635.24,17164.95,6749.4,1283.79,17674.39,6.2366,0.8822,0.6632,118.248
63,02-02-15,1,17169.99,17367.68,17037.76,17361.04,108090000,1175.51,10669.03,4676.69,17361.04,6782.6,1274.41,17558.04,6.241,0.8842,0.6628,117.184
64,03-02-15,2,17369.97,17670.76,17369.97,17666.4,112860000,1196.99,10847.41,4727.74,17666.4,6871.8,1260.52,17335.85,6.2495,0.8817,0.6654,117.575
65,04-02-15,1,17664.99,17782.22,17603.21,17673.02,102560000,1191.44,10775.04,4716.7,17673.02,6860,1269.35,17678.74,6.2457,0.8728,0.6604,117.646
66,05-02-15,2,17677.26,17889.58,17677.26,17884.88,79890000,1208.71,10896.06,4765.1,17884.88,6865.9,1264.82,17504.62,6.2377,0.8835,0.6588,117.288
67,06-02-15,2,17881.54,17951.09,17764.4,17824.29,93610000,1205.46,10847.51,4744.4,17824.29,6853.4,1234.04,17648.5,6.2421,0.8717,0.6525,117.535
68,09-02-15,1,17821.49,17821.49,17685.32,17729.21,81590000,1195.83,10826.59,4726.01,17729.21,6837.2,1239.03,17711.93,6.2334,0.8838,0.6562,118.97
69,10-02-15,2,17736.15,17890.34,17729.24,17868.76,89930000,1203.18,10915.14,4787.64,17868.76,6829.1,1233.55,17652.68,6.2388,0.8828,0.6572,118.563
70,11-02-15,1,17867.86,17897.21,17759.65,17862.14,89890000,1201.55,10889.05,4801.18,17862.14,6818.2,1218.83,,6.2318,0.8832,0.6552,119.358
71,12-02-15,1,17862.14,17975.65,17862.14,17972.38,117160000,1216.27,10995.31,4857.61,17972.38,6828.1,1221.98,17979.72,6.2323,0.884,0.6561,120.17
72,13-02-15,1,17968.65,18037.41,17961.76,18019.35,85230000,1223.13,11042.69,4893.84,18019.35,6873.5,1229.76,17913.36,6.2345,0.8769,0.6497,118.916
73,17-02-15,2,18019.8,18052.01,17951.41,18047.58,98760000,1225.01,11054.47,4899.27,18047.58,6898.1,1209.89,17987.09,6.2386,0.8823,0.6512,118.492
74,18-02-15,2,18045.72,18048.7,17982.2,18029.85,75090000,1227.95,11064.09,4906.36,18029.85,6898.1,1212.42,18199.17,6.2441,0.8768,0.6513,119.208
75,19-02-15,1,18028.67,18028.67,17924.6,17985.77,79130000,1227.91,11038.26,4924.7,17985.77,6888.9,1206.84,18264.79,6.2441,0.8772,0.6477,118.689
76,20-02-15,2,17985.77,18144.29,17878.37,18140.44,111390000,1231.79,11108.67,4955.97,18140.44,6915.2,1201.94,18332.3,6.2441,0.8798,0.6485,118.988
77,23-02-15,1,18140.76,18141.21,18054.84,18116.84,83670000,1231.83,11074.58,4960.97,18116.84,6912.2,1201.83,18466.92,6.2441,0.8786,0.6498,119.076
78,24-02-15,2,18112.57,18231.09,18098.73,18209.19,79310000,1233.98,11122.11,4968.12,18209.19,6949.6,1200.53,18603.48,6.2451,0.8824,0.6471,118.903
79,25-02-15,2,18208.67,18244.38,18182.76,18224.57,80480000,1235.1,11117.93,4967.14,18224.57,6935.4,1205,18585.2,6.2451,0.8819,0.6469,118.892
80,26-02-15,2,18224.41,18239.43,18157.07,18214.42,81500000,1239.11,11082.1,4987.89,18214.42,6949.7,1209.49,18785.79,6.2495,0.88,0.644,118.822
81,27-02-15,1,18213.26,18213.26,18132.38,18132.7,101110000,1233.37,11062.79,4963.53,18132.7,6946.7,1213.18,18797.94,6.2495,0.8924,0.6486,119.377
