,importance,rank
Volume,0.0702770847745156,1.0
RUSS_Close,0.06672962623080056,2.0
GOLD_Close,0.06461529174915226,3.0
N225_Close,0.06426407053226488,4.0
Close,0.06388389908689865,5.0
FTSE_Close,0.06330973660695502,6.0
Open,0.06283370792043533,7.0
NYSE_Close,0.06158982389805866,8.0
USDEUR_Close,0.06131665771446675,9.0
Low,0.061105605089749354,10.0
DJI_Close,0.06092660160796562,11.0
High,0.060425937038353215,12.0
USDJPY_Close,0.06028090902813003,13.0
USDGBP_Close,0.059895020430090005,14.0
NASDAQ_Close,0.05986005795110774,15.0
USDCNY_Close,0.058685970341056375,16.0
