Signal,Open,High,Low,Close,Volume,NYSE_Close,RUSS_Close,NASDAQ_Close,DJI_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,April,August,December,February,January,July,June,March,May,November,October,September,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Friday,Monday,Thursday,Tuesday,Wednesday
1,0.002068951,-0.0030806329999999997,-0.008179197,-0.010312341,4160250000,-0.012984757,-0.021125565,-0.00828565,-0.009155340999999999,0.0018400320000000001,-0.012337497,-0.006829608,2.9299999999999997e-05,0.008504341,-0.00066324,0.004106782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.009808396,-0.003800419,0.00039627099999999996,0.005722896,3792610000,0.008015306,0.010217816,0.008737807,0.0071331369999999995,0.003764345,0.013545038,-0.0034922490000000002,-4.4e-05,-0.0035719640000000004,-0.005321815,-0.006891213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.0059952880000000005,0.014379758000000001,0.008075439,0.014363915,4565850000,0.016328298,0.027904093999999997,0.013729878000000001,0.013202026,0.016162763,0.018291438,0.002133785,2.9299999999999997e-05,-0.004932377,-0.009718575,-0.007276016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.013697539,-0.0028504520000000003,0.007339583,0.000919076,3824070000,-0.000420146,-0.000879515,0.002694458,0.002922612,-0.006860195,0.001824018,-0.006275279,0.000190696,0.007166349,0.0008415380000000001,0.002468583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.00019831799999999998,0.000522142,0.00046260800000000004,-0.00046844300000000003,4293340000,-0.001016543,-0.0036424459999999997,-0.004839761,-0.001065006,-0.0007110780000000001,0.003690461,-0.005475434,-0.000132016,-0.005220386,0.005034412,0.001881005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-0.00270773,-0.004202862,-0.01305299,-0.013516783999999999,4178030000,-0.015207674,-0.024406059,-0.016699392,-0.009043959,-0.014024999,-0.000873286,-0.013245613,0.000132016,0.00253902,0.005009194,-0.005586168000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.010703841,-0.010703841,-0.001461928,-0.0032200840000000002,3751230000,-0.004671145,-0.001708876,-0.005010631,-0.001383011,-0.003099127,0.005228314,-0.005438096999999999,-2.9299999999999997e-05,0.003573559,0.008128103000000001,-0.000787712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0.000182688,0.016058051,0.007379701,0.013523927,3827920000,0.014275546,0.017177338,0.013868641000000001,0.012787433999999999,0.019629363,0.013295541999999999,-0.005438096999999999,0.000601204,-0.006561312,-0.005300658000000001,0.000787712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.009969683,-0.004342467,0.002526809,-0.00053348,3700820000,-0.002238694,-0.003756142,-0.003143709,-0.0016509729999999998,-0.00589917,0.00292026,-0.010169798,-0.000425204,-0.00029926700000000003,0.001493652,-0.003459295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0.000596659,0.003263116,0.006465755,0.004494025,3036350000,0.008590299999999999,-0.000658356,0.0031620909999999997,0.00293711,0.007634195999999999,0.018847945,0.004251934000000001,-4.4e-05,-0.01083369,-0.007323601,-0.014015336000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,-0.0009222589999999999,-0.00515193,-0.019201043,-0.017383687,2362910000,-0.022659006000000002,-0.025621377999999997,-0.017434715,-0.014872482,-0.022450402999999997,-0.011843349,-0.038888114,-4.4e-05,0.00918612,0.011956303,-0.010124339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,-0.013111718,-0.007472648,0.0023133760000000002,0.003785805,3895520000,0.0031449390000000002,0.004356326,0.002876464,0.0033813059999999997,-0.010540131000000001,0.001696886,0.028658715,-0.00019067599999999997,-0.0033033059999999998,0.002966872,-0.002663117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0.007141713,0.013614026999999999,0.011569181999999999,0.01200292,4249310000,0.01673925,0.016203207,0.014447953999999999,0.012177076,0.023137499,0.014208156000000001,0.02396277,0.00017601,-0.0033142540000000004,-0.010090235,0.00462696,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.00918518,0.002962486,0.005807165,0.000342636,3941340000,0.0014326789999999999,0.011625978,0.004228549,-0.001806516,0.0028572520000000002,0.016034435,0.0038308509999999997,-0.000234687,0.001357159,-0.002163602,0.010447256,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.001405646,0.0015227110000000002,-0.005943675,-0.008437646,4810030000,-0.009092191999999999,-0.012339063,-0.005456432,-0.008312715,-0.0027066670000000003,-0.006932723000000001,0.037655681,-1.47e-05,0.000301341,0.006145688000000001,0.007951401,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,-0.009190393,0.0016544379999999998,-0.00202254,0.00549437,5781140000,0.003578864,0.023516277999999998,0.009712749,0.002192238,0.001767682,-0.038858693,0.004491949,-1.47e-05,0.013913008000000001,0.004625814000000001,0.025295147,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0.0046148000000000005,-0.007543144,0.003922912,-0.002471451,4103360000,-0.003763315,0.001276578,-0.002162429,0.000116464,-0.002200676,-0.0028712729999999997,0.014364648999999998,0.000322689,0.001039424,0.000988468,-0.013681321000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.0022458079999999997,-0.006938449,-0.011162788,-0.010304438,4748030000,-0.013998268000000001,-0.0097565,-0.007619346,-0.010073561,-0.016632558000000002,-0.025980031,-0.002671846,-0.00013199700000000002,0.00974753,0.01324956,-0.010243799999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.010911138,-0.005454361,-0.002501726,0.003665636,4115410000,0.0016086229999999998,0.0005519640000000001,0.004930325,0.004953698,-0.0036827509999999997,0.00017722599999999997,-0.013477366999999999,7.329999999999999e-05,-0.0027963809999999997,-0.001951855,-0.0032866809999999996,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
